date,max_temp,min_temp,mean_temp,precip,snow_ground,year,month
2019-10-01,17.1,9.0,13.0,51.3,,2019,10
2019-10-02,14.8,5.0,9.9,0.2,,2019,10
2019-10-03,10.8,2.8,6.8,5.0,,2019,10
2019-10-04,11.1,2.8,6.9,0.6,,2019,10
2019-10-05,12.4,1.1,6.7,0.2,,2019,10
2019-10-06,16.8,5.9,11.4,0.0,,2019,10
2019-10-07,17.1,12.1,14.6,9.5,,2019,10
2019-10-08,17.0,6.1,11.6,0.2,,2019,10
2019-10-09,16.1,4.5,10.3,0.0,,2019,10
2019-10-10,18.0,7.1,12.5,0.0,,2019,10
2019-10-11,19.4,7.0,13.2,0.0,,2019,10
2019-10-12,18.7,7.9,13.3,0.2,,2019,10
2019-10-13,16.0,6.5,11.2,0.4,,2019,10
2019-10-14,14.0,6.2,10.1,0.0,,2019,10
2019-10-15,13.5,4.9,9.2,0.2,,2019,10
2019-10-16,16.3,8.0,12.1,10.6,,2019,10
2019-10-17,9.4,6.8,8.1,61.1,,2019,10
2019-10-18,9.0,4.8,6.9,,,2019,10
2019-10-19,11.0,1.1,6.0,0.0,,2019,10
2019-10-20,12.5,2.3,7.4,0.0,,2019,10
2019-10-21,16.0,0.6,8.3,0.0,,2019,10
2019-10-22,16.2,10.1,13.2,18.2,,2019,10
2019-10-23,15.5,9.9,12.7,6.2,,2019,10
2019-10-24,13.8,7.4,10.6,0.0,,2019,10
2019-10-25,9.6,3.0,6.3,0.0,,2019,10
2019-10-26,11.7,2.2,6.9,0.0,,2019,10
2019-10-27,10.6,6.6,8.6,35.3,,2019,10
2019-10-28,12.4,6.4,9.4,0.2,,2019,10
2019-10-29,17.5,4.2,10.8,0.0,,2019,10
2019-10-30,15.4,9.0,12.2,0.5,,2019,10
2019-10-31,16.0,8.2,12.1,59.7,,2019,10
