date,max_temp,min_temp,mean_temp,precip,snow_ground,year,month
2019-09-01,23.0,9.3,16.2,4.4,,2019,9
2019-09-02,21.4,13.9,17.7,27.0,,2019,9
2019-09-03,19.6,12.2,15.9,0.2,,2019,9
2019-09-04,24.1,13.2,18.6,22.4,,2019,9
2019-09-05,21.0,9.8,15.4,0.2,,2019,9
2019-09-06,22.5,11.8,17.1,0.0,,2019,9
2019-09-07,20.1,12.8,16.5,9.9,,2019,9
2019-09-08,19.0,8.2,13.6,0.0,,2019,9
2019-09-09,17.8,7.5,12.6,0.0,,2019,9
2019-09-10,19.5,8.7,14.1,2.4,,2019,9
2019-09-11,26.4,13.9,20.1,3.7,,2019,9
2019-09-12,20.0,10.7,15.3,0.0,,2019,9
2019-09-13,20.7,8.8,14.8,0.0,,2019,9
2019-09-14,23.4,13.7,18.5,6.6,,2019,9
2019-09-15,18.2,10.4,14.3,0.0,,2019,9
2019-09-16,21.0,10.3,15.7,0.0,,2019,9
2019-09-17,19.6,7.3,13.5,0.0,,2019,9
2019-09-18,19.1,8.6,13.8,0.0,,2019,9
2019-09-19,21.1,6.5,13.8,0.0,,2019,9
2019-09-20,24.3,13.2,18.7,0.2,,2019,9
2019-09-21,25.9,13.9,19.9,0.0,,2019,9
2019-09-22,26.3,16.4,21.4,0.0,,2019,9
2019-09-23,25.1,16.1,20.6,4.7,,2019,9
2019-09-24,17.1,12.6,14.8,0.5,,2019,9
2019-09-25,19.9,12.0,16.0,0.2,,2019,9
2019-09-26,20.1,10.6,15.4,7.3,,2019,9
2019-09-27,19.7,9.6,14.6,0.2,,2019,9
2019-09-28,18.5,10.9,14.7,6.4,,2019,9
2019-09-29,13.9,5.4,9.7,0.2,,2019,9
2019-09-30,14.2,6.0,10.1,3.3,,2019,9
