date,max_temp,min_temp,mean_temp,precip,snow_ground,year,month
2019-01-01,2.5,-12.8,-5.1,16.5,2.0,2019,1
2019-01-02,-8.7,-15.4,-12.1,0.5,2.0,2019,1
2019-01-03,-1.6,-14.0,-7.8,2.3,2.0,2019,1
2019-01-04,3.0,-1.9,0.5,2.3,6.0,2019,1
2019-01-05,2.3,0.2,1.2,0.0,3.0,2019,1
2019-01-06,1.5,-12.9,-5.7,0.2,2.0,2019,1
2019-01-07,-8.5,-17.1,-12.8,3.2,2.0,2019,1
2019-01-08,1.4,-8.8,-3.7,5.4,2.0,2019,1
2019-01-09,1.2,-3.0,-0.9,0.0,3.0,2019,1
2019-01-10,-2.8,-12.9,-7.9,0.2,11.0,2019,1
2019-01-11,-12.9,-18.9,-15.9,0.4,3.0,2019,1
2019-01-12,-13.5,-18.2,-15.9,0.0,2.0,2019,1
2019-01-13,-10.3,-19.9,-15.1,1.5,2.0,2019,1
2019-01-14,-7.8,-18.0,-12.9,0.6,2.0,2019,1
2019-01-15,-1.4,-7.8,-4.6,0.5,3.0,2019,1
2019-01-16,1.4,-17.5,-8.0,0.4,3.0,2019,1
2019-01-17,-13.2,-21.1,-17.2,1.1,2.0,2019,1
2019-01-18,-8.9,-15.9,-12.4,1.2,3.0,2019,1
2019-01-19,-15.1,-22.9,-19.0,1.8,5.0,2019,1
2019-01-20,-15.6,-21.2,-18.4,6.7,5.0,2019,1
2019-01-21,-16.3,-21.4,-18.9,1.1,17.0,2019,1
2019-01-22,-9.7,-22.3,-16.0,0.0,13.0,2019,1
2019-01-23,0.7,-13.3,-6.3,16.0,16.0,2019,1
2019-01-24,2.5,-6.6,-2.0,21.1,16.0,2019,1
2019-01-25,-1.6,-11.0,-6.3,0.4,12.0,2019,1
2019-01-26,-10.3,-13.7,-12.0,1.3,12.0,2019,1
2019-01-27,-0.5,-12.5,-6.5,0.0,13.0,2019,1
2019-01-28,-12.3,-20.5,-16.4,,13.0,2019,1
2019-01-29,-9.1,-18.0,-13.5,6.0,13.0,2019,1
2019-01-30,-7.5,-16.8,-12.2,0.0,23.0,2019,1
2019-01-31,-13.9,-17.4,-15.6,0.0,18.0,2019,1
