date,max_temp,min_temp,mean_temp,precip,snow_ground,year,month
2019-03-01,-3.6,-16.6,-10.1,0.0,22.0,2019,3
2019-03-02,-2.2,-11.8,-7.0,0.0,21.0,2019,3
2019-03-03,-0.7,-6.3,-3.5,0.0,21.0,2019,3
2019-03-04,-2.7,-10.1,-6.4,0.0,21.0,2019,3
2019-03-05,-7.6,-13.9,-10.8,0.2,21.0,2019,3
2019-03-06,-8.2,-16.9,-12.5,0.0,23.0,2019,3
2019-03-07,-7.8,-18.8,-13.3,0.0,22.0,2019,3
2019-03-08,-1.4,-12.3,-6.8,0.0,22.0,2019,3
2019-03-09,-1.2,-9.3,-5.2,0.0,22.0,2019,3
2019-03-10,3.9,-7.2,-1.6,18.1,22.0,2019,3
2019-03-11,3.5,-2.4,0.6,0.2,29.0,2019,3
2019-03-12,-1.2,-6.0,-3.6,0.0,26.0,2019,3
2019-03-13,2.4,-5.8,-1.7,0.9,26.0,2019,3
2019-03-14,7.7,-0.7,3.5,0.0,27.0,2019,3
2019-03-15,10.2,3.4,6.8,1.6,19.0,2019,3
2019-03-16,3.5,-4.6,-0.6,0.2,11.0,2019,3
2019-03-17,-2.3,-7.4,-4.9,0.2,10.0,2019,3
2019-03-18,-0.9,-8.7,-4.8,0.0,10.0,2019,3
2019-03-19,1.0,-10.9,-4.9,0.0,10.0,2019,3
2019-03-20,7.6,-5.6,1.0,0.0,9.0,2019,3
2019-03-21,7.1,0.9,4.0,7.7,6.0,2019,3
2019-03-22,3.1,1.0,2.1,15.7,4.0,2019,3
2019-03-23,1.1,-4.9,-1.9,1.2,3.0,2019,3
2019-03-24,4.5,-3.7,0.4,0.0,3.0,2019,3
2019-03-25,0.1,-7.6,-3.7,0.0,3.0,2019,3
2019-03-26,0.6,-7.8,-3.6,0.0,3.0,2019,3
2019-03-27,6.1,-5.5,0.3,0.0,3.0,2019,3
2019-03-28,8.7,0.0,4.3,0.3,5.0,2019,3
2019-03-29,7.7,-2.4,2.7,1.5,5.0,2019,3
2019-03-30,2.0,-1.7,0.2,5.9,5.0,2019,3
2019-03-31,2.2,-1.8,0.2,5.6,5.0,2019,3
