date,max_temp,min_temp,mean_temp,precip,snow_ground,year,month
2019-12-01,-5.5,-11.9,-8.7,0.0,0.0,2019,12
2019-12-02,-2.1,-7.0,-4.5,0.0,1.0,2019,12
2019-12-03,1.3,-7.9,-3.3,0.0,1.0,2019,12
2019-12-04,0.5,-4.2,-1.9,2.2,1.0,2019,12
2019-12-05,0.5,-5.0,-2.3,1.5,5.0,2019,12
2019-12-06,-3.7,-9.3,-6.5,0.9,3.0,2019,12
2019-12-07,-4.5,-11.1,-7.8,0.0,3.0,2019,12
2019-12-08,0.7,-11.7,-5.5,0.0,4.0,2019,12
2019-12-09,7.3,0.5,3.9,8.2,3.0,2019,12
2019-12-10,9.4,-8.5,0.5,0.0,1.0,2019,12
2019-12-11,-2.4,-11.0,-6.7,1.2,0.0,2019,12
2019-12-12,-3.0,-9.8,-6.4,0.0,0.0,2019,12
2019-12-13,4.3,-3.3,0.5,3.0,1.0,2019,12
2019-12-14,3.5,0.9,2.2,12.0,1.0,2019,12
2019-12-15,1.4,-9.7,-4.2,0.7,1.0,2019,12
2019-12-16,-3.8,-11.3,-7.6,0.2,0.0,2019,12
2019-12-17,-1.1,-4.5,-2.8,1.1,1.0,2019,12
2019-12-18,-2.4,-18.1,-10.2,2.3,2.0,2019,12
2019-12-19,-14.8,-20.3,-17.5,0.0,4.0,2019,12
2019-12-20,-11.0,-16.4,-13.7,0.0,4.0,2019,12
2019-12-21,-8.3,-15.5,-11.9,0.0,4.0,2019,12
2019-12-22,3.5,-10.1,-3.3,0.0,4.0,2019,12
2019-12-23,7.5,-1.9,2.8,0.0,3.0,2019,12
2019-12-24,0.8,-5.4,-2.3,0.0,1.0,2019,12
2019-12-25,-3.1,-6.2,-4.7,0.0,1.0,2019,12
2019-12-26,-3.8,-8.7,-6.3,0.0,2.0,2019,12
2019-12-27,3.4,-4.4,-0.5,5.9,2.0,2019,12
2019-12-28,4.0,-1.3,1.3,0.0,2.0,2019,12
2019-12-29,0.9,-2.7,-0.9,0.0,2.0,2019,12
2019-12-30,-0.7,-3.9,-2.3,13.4,2.0,2019,12
2019-12-31,1.4,-1.8,-0.2,11.4,11.0,2019,12
