date,max_temp,min_temp,mean_temp,precip,snow_ground,year,month
2019-02-01,-11.9,-17.1,-14.5,0.0,16.0,2019,2
2019-02-02,-6.3,-15.4,-10.8,2.2,15.0,2019,2
2019-02-03,-10.6,-14.3,-12.4,2.0,22.0,2019,2
2019-02-04,-2.9,-10.6,-6.7,0.9,20.0,2019,2
2019-02-05,7.1,-9.5,-1.2,7.7,18.0,2019,2
2019-02-06,-5.8,-10.7,-8.3,3.4,14.0,2019,2
2019-02-07,2.3,-6.7,-2.2,1.7,14.0,2019,2
2019-02-08,6.6,-8.8,-1.1,0.7,14.0,2019,2
2019-02-09,-7.0,-11.6,-9.3,0.0,12.0,2019,2
2019-02-10,-6.4,-13.3,-9.8,0.0,12.0,2019,2
2019-02-11,-8.0,-14.2,-11.1,0.0,11.0,2019,2
2019-02-12,-5.7,-16.5,-11.1,13.9,11.0,2019,2
2019-02-13,0.9,-7.5,-3.3,14.2,27.0,2019,2
2019-02-14,-4.4,-9.3,-6.9,0.0,29.0,2019,2
2019-02-15,4.1,-6.5,-1.2,2.7,28.0,2019,2
2019-02-16,-1.7,-11.8,-6.8,0.0,22.0,2019,2
2019-02-17,-8.6,-18.6,-13.6,0.2,22.0,2019,2
2019-02-18,-7.4,-16.3,-11.8,0.0,22.0,2019,2
2019-02-19,-9.3,-17.5,-13.4,0.0,22.0,2019,2
2019-02-20,-4.7,-19.4,-12.1,1.6,21.0,2019,2
2019-02-21,3.1,-7.8,-2.4,8.1,29.0,2019,2
2019-02-22,-0.7,-10.7,-5.7,0.0,29.0,2019,2
2019-02-23,1.1,-13.6,-6.3,0.0,28.0,2019,2
2019-02-24,4.4,-2.1,1.1,14.2,27.0,2019,2
2019-02-25,2.0,-12.3,-5.2,0.2,22.0,2019,2
2019-02-26,-12.3,-18.1,-15.2,0.2,22.0,2019,2
2019-02-27,-12.9,-20.5,-16.7,0.0,22.0,2019,2
2019-02-28,-7.8,-20.9,-14.4,0.0,22.0,2019,2
