date,max_temp,min_temp,mean_temp,precip,snow_ground,year,month
2019-05-01,8.4,2.5,5.5,5.8,,2019,5
2019-05-02,9.7,2.8,6.3,0.2,,2019,5
2019-05-03,10.5,7.8,9.2,3.1,,2019,5
2019-05-04,16.3,7.0,11.7,0.2,,2019,5
2019-05-05,20.2,3.7,12.0,0.0,,2019,5
2019-05-06,23.2,9.1,16.1,0.0,,2019,5
2019-05-07,18.5,5.0,11.8,0.0,,2019,5
2019-05-08,14.0,0.5,7.3,0.0,,2019,5
2019-05-09,16.7,4.5,10.6,12.2,,2019,5
2019-05-10,17.9,8.4,13.1,24.8,,2019,5
2019-05-11,13.9,5.5,9.7,0.0,,2019,5
2019-05-12,16.9,6.0,11.4,0.0,,2019,5
2019-05-13,15.8,6.7,11.3,3.0,,2019,5
2019-05-14,8.7,5.6,7.1,8.3,,2019,5
2019-05-15,14.9,5.7,10.3,0.0,,2019,5
2019-05-16,16.3,7.4,11.8,0.0,,2019,5
2019-05-17,14.7,9.0,11.8,0.3,,2019,5
2019-05-18,15.6,8.1,11.9,0.2,,2019,5
2019-05-19,18.7,10.3,14.5,11.1,,2019,5
2019-05-20,22.9,9.8,16.3,0.0,,2019,5
2019-05-21,16.5,7.3,11.9,0.2,,2019,5
2019-05-22,19.3,5.8,12.6,0.2,,2019,5
2019-05-23,21.2,12.4,16.8,15.9,,2019,5
2019-05-24,17.1,10.8,13.9,1.4,,2019,5
2019-05-25,21.3,9.6,15.5,0.4,,2019,5
2019-05-26,24.1,12.3,18.2,0.6,,2019,5
2019-05-27,17.0,9.1,13.1,0.0,,2019,5
2019-05-28,12.8,7.8,10.3,1.6,,2019,5
2019-05-29,16.1,8.2,12.2,0.2,,2019,5
2019-05-30,22.3,11.0,16.6,,,2019,5
2019-05-31,15.7,7.8,11.7,0.0,,2019,5
