date,max_temp,min_temp,mean_temp,precip,snow_ground,year,month
2019-08-01,27.7,14.7,21.2,0.0,,2019,8
2019-08-02,29.2,17.4,23.3,0.0,,2019,8
2019-08-03,28.1,19.0,23.5,0.0,,2019,8
2019-08-04,24.4,14.3,19.3,0.2,,2019,8
2019-08-05,27.6,11.6,19.6,0.0,,2019,8
2019-08-06,31.0,17.1,24.1,0.0,,2019,8
2019-08-07,24.6,21.3,23.0,0.0,,2019,8
2019-08-08,28.9,19.7,24.3,9.8,,2019,8
2019-08-09,25.1,15.1,20.1,10.2,,2019,8
2019-08-10,20.2,14.7,17.5,0.5,,2019,8
2019-08-11,26.7,14.7,20.7,0.0,,2019,8
2019-08-12,26.9,18.5,22.7,2.2,,2019,8
2019-08-13,26.9,17.2,22.0,0.0,,2019,8
2019-08-14,25.2,15.1,20.1,0.0,,2019,8
2019-08-15,24.7,11.0,17.8,0.0,,2019,8
2019-08-16,25.7,14.9,20.3,0.0,,2019,8
2019-08-17,27.7,18.2,23.0,3.7,,2019,8
2019-08-18,28.0,19.7,23.9,0.0,,2019,8
2019-08-19,30.0,17.3,23.7,0.0,,2019,8
2019-08-20,28.7,15.8,22.2,0.0,,2019,8
2019-08-21,25.0,18.6,21.8,2.9,,2019,8
2019-08-22,26.3,15.6,21.0,0.0,,2019,8
2019-08-23,23.3,12.4,17.8,0.0,,2019,8
2019-08-24,23.0,11.6,17.3,0.0,,2019,8
2019-08-25,25.3,12.4,18.8,0.0,,2019,8
2019-08-26,26.8,13.0,19.9,0.2,,2019,8
2019-08-27,26.6,14.6,20.6,0.0,,2019,8
2019-08-28,21.0,18.4,19.7,15.8,,2019,8
2019-08-29,24.7,17.7,21.2,0.0,,2019,8
2019-08-30,23.8,15.9,19.8,10.6,,2019,8
2019-08-31,22.7,12.4,17.6,0.0,,2019,8
